ubig_inei,departamento,provincia,distrito,ubig_reniec
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,010102
010103,AMAZONAS,CHACHAPOYAS,BALSAS,010103
010104,AMAZONAS,CHACHAPOYAS,CHETO,010104
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106
010107,AMAZONAS,CHACHAPOYAS,GRANADA,010107
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,010108
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,010109
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,010111
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,010116
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,010117
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,010120
010121,AMAZONAS,CHACHAPOYAS,SONCHE,010121
010201,AMAZONAS,BAGUA,BAGUA,010205
010202,AMAZONAS,BAGUA,ARAMANGO,010202
010203,AMAZONAS,BAGUA,COPALLIN,010203
010204,AMAZONAS,BAGUA,EL PARCO,010204
010205,AMAZONAS,BAGUA,IMAZA,010206
010206,AMAZONAS,BAGUA,LA PECA,010201
010301,AMAZONAS,BONGARA,JUMBILLA,010301
010302,AMAZONAS,BONGARA,CHISQUILLA,010304
010303,AMAZONAS,BONGARA,CHURUJA,010305
010304,AMAZONAS,BONGARA,COROSHA,010302
010305,AMAZONAS,BONGARA,CUISPES,010303
010306,AMAZONAS,BONGARA,FLORIDA,010306
010307,AMAZONAS,BONGARA,JAZAN,010312
010308,AMAZONAS,BONGARA,RECTA,010307
010309,AMAZONAS,BONGARA,SAN CARLOS,010308
010310,AMAZONAS,BONGARA,SHIPASBAMBA,010309
010311,AMAZONAS,BONGARA,VALERA,010310
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,010311
010401,AMAZONAS,CONDORCANQUI,NIEVA,010601
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,010603
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010602
010501,AMAZONAS,LUYA,LAMUD,010401
010502,AMAZONAS,LUYA,CAMPORREDONDO,010402
010503,AMAZONAS,LUYA,COCABAMBA,010403
010504,AMAZONAS,LUYA,COLCAMAR,010404
010505,AMAZONAS,LUYA,CONILA,010405
010506,AMAZONAS,LUYA,INGUILPATA,010406
010507,AMAZONAS,LUYA,LONGUITA,010407
010508,AMAZONAS,LUYA,LONYA CHICO,010408
010509,AMAZONAS,LUYA,LUYA,010409
010510,AMAZONAS,LUYA,LUYA VIEJO,010410
010511,AMAZONAS,LUYA,MARIA,010411
010512,AMAZONAS,LUYA,OCALLI,010412
010513,AMAZONAS,LUYA,OCUMAL,010413
010514,AMAZONAS,LUYA,PISUQUIA,010414
010515,AMAZONAS,LUYA,PROVIDENCIA,010423
010516,AMAZONAS,LUYA,SAN CRISTOBAL,010415
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,010416
010518,AMAZONAS,LUYA,SAN JERONIMO,010417
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,010418
010520,AMAZONAS,LUYA,SANTA CATALINA,010419
010521,AMAZONAS,LUYA,SANTO TOMAS,010420
010522,AMAZONAS,LUYA,TINGO,010421
010523,AMAZONAS,LUYA,TRITA,010422
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,010501
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,010503
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,010502
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,010504
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,010505
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,010506
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,010508
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,010507
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,010509
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,010510
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,010511
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,010512
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,010701
010702,AMAZONAS,UTCUBAMBA,CAJARURO,010702
010703,AMAZONAS,UTCUBAMBA,CUMBA,010703
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,010704
010705,AMAZONAS,UTCUBAMBA,JAMALCA,010705
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,010706
010707,AMAZONAS,UTCUBAMBA,YAMON,010707
020101,ANCASH,HUARAZ,HUARAZ,020101
020102,ANCASH,HUARAZ,COCHABAMBA,020103
020103,ANCASH,HUARAZ,COLCABAMBA,020104
020104,ANCASH,HUARAZ,HUANCHAY,020105
020105,ANCASH,HUARAZ,INDEPENDENCIA,020102
020106,ANCASH,HUARAZ,JANGAS,020106
020107,ANCASH,HUARAZ,LA LIBERTAD,020107
020108,ANCASH,HUARAZ,OLLEROS,020108
020109,ANCASH,HUARAZ,PAMPAS GRANDE,020109
020110,ANCASH,HUARAZ,PARIACOTO,020110
020111,ANCASH,HUARAZ,PIRA,020111
020112,ANCASH,HUARAZ,TARICA,020112
020201,ANCASH,AIJA,AIJA,020201
020202,ANCASH,AIJA,CORIS,020203
020203,ANCASH,AIJA,HUACLLAN,020205
020204,ANCASH,AIJA,LA MERCED,020206
020205,ANCASH,AIJA,SUCCHA,020208
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,021601
020302,ANCASH,ANTONIO RAYMONDI,ACZO,021602
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,021603
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,021604
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,021605
